"INITIALS","LONG_NAME","SHORT_NAME","CONFERENCE"
"Atl","Atlanta Hawks","Atlanta","East"
"Bos","Boston Celtics","Boston","East"
"Bro","Brooklyn Nets","Brooklyn","East"
"Cha","Charlotte Bobcats","Charlotte","East"
"Cha","Charlotte Hornets","Charlotte","East"
"Chi","Chicago Bulls","Chicago","East"
"Cle","Cleveland Cavaliers","Cleveland","East"
"Dal","Dallas Mavericks","Dallas","West"
"Den","Denver Nuggets","Denver","West"
"Det","Detroit Pistons","Detroit","East"
"Gol","Golden State Warriors","Golden State","West"
"Hou","Houston Rockets","Houston","West"
"Ind","Indiana Pacers","Indiana","East"
"Lac","Los Angeles Clippers","LA Clippers","West"
"Lal","Los Angeles Lakers","LA Lakers","West"
"Mem","Memphis Grizzlies","Memphis","West"
"Mia","Miami Heat","Miami","East"
"Mil","Milwaukee Bucks","Milwaukee","East"
"Min","Minnesota Timberwolves","Minnesota","West"
"Njn","New Jersey Nets","New Jersey","East"
"Noh","New Orleans Hornets","New Orleans","West"
"Nor","New Orleans Pelicans","New Orleans","West"
"Nyk","New York Knicks","New York","East"
"Okc","Oklahoma City Thunder","Oklahoma City","West"
"Orl","Orlando Magic","Orlando","East"
"Phi","Philadelphia 76ers","Philadelphia","East"
"Pho","Phoenix Suns","Phoenix","West"
"Por","Portland Trailblazers","Portland","West"
"Sac","Sacramento Kings","Sacramento","West"
"San","San Antonio Spurs","San Antonio","West"
"Sea","Seattle Supersonics","Seattle","West"
"Tor","Toronto Raptors","Toronto","East"
"Uta","Utah Jazz","Utah","West"
"Was","Washington Wizards","Washington","East"